time/total_timesteps,train/reward,train/explained_variance,train/learning_rate,train/value_loss,train/entropy_loss,time/iterations,train/n_updates,time/fps,train/policy_loss,time/time_elapsed,train/std
150000,-2629.6265,0.0,1e-05,290815.84375,-55.369911193847656,15000,14999,61,10823.3505859375,2428,1.000802755355835
151000,-4291.925,8.344650268554688e-07,1e-05,48693212.0,-55.370521545410156,15100,15099,61,-287545.5,2443,1.0008175373077393
152000,-4055.3113,-1.1920928955078125e-07,1e-05,1342431.375,-55.37112045288086,15200,15199,61,32740.412109375,2463,1.0008351802825928
153000,-88.98913,0.0,1e-05,5170150.5,-55.37091064453125,15300,15299,61,-85716.4609375,2477,1.0008280277252197
154000,3536.567,0.0,1e-05,160485584.0,-55.3707389831543,15400,15399,61,-638589.875,2495,1.000826120376587
155000,6263.4316,0.0,1e-05,31440916.0,-55.3706169128418,15500,15499,61,-274655.625,2512,1.0008206367492676
156000,-377.16803,-1.1920928955078125e-07,1e-05,11720300.0,-55.371028900146484,15600,15599,61,123654.4921875,2532,1.0008313655853271
157000,-561.52563,0.0,1e-05,17676916.0,-55.3720817565918,15700,15699,61,-189849.15625,2548,1.000860333442688
158000,-685.21545,-1.1920928955078125e-07,1e-05,10034576.0,-55.37263107299805,15800,15799,61,-137011.3125,2562,1.000874400138855
159000,-174.79701,0.0,1e-05,5989296.0,-55.3736686706543,15900,15899,61,123147.3671875,2578,1.0008971691131592
160000,-519.5142,-1.1920928955078125e-07,1e-05,9988356.0,-55.373504638671875,16000,15999,61,-149980.53125,2592,1.00089693069458
161000,-108.801895,0.0,1e-05,3118072.75,-55.37289047241211,16100,16099,61,-91964.5078125,2609,1.000880479812622
162000,-1456.5139,-1.1920928955078125e-07,1e-05,16283613.0,-55.373199462890625,16200,16199,61,-104105.0546875,2627,1.0008900165557861
163000,-1619.3921,0.0,1e-05,2643825.25,-55.37476348876953,16300,16299,61,-48422.18359375,2644,1.0009264945983887
164000,2238.9873,0.0,1e-05,19715350.0,-55.37411117553711,16400,16399,61,-201822.90625,2658,1.0009100437164307
165000,-787.92456,1.1920928955078125e-07,1e-05,2155149.25,-55.3734016418457,16500,16499,61,6509.95654296875,2674,1.000893473625183
166000,560.2114,-1.1920928955078125e-07,1e-05,17147508.0,-55.374114990234375,16600,16599,61,-190627.375,2688,1.000911831855774
167000,-618.4812,-1.1920928955078125e-07,1e-05,9371578.0,-55.374794006347656,16700,16699,61,-129565.3984375,2704,1.0009286403656006
168000,-973.63776,0.0,1e-05,32975076.0,-55.37640380859375,16800,16799,61,-286756.71875,2720,1.0009685754776
169000,-22.94997,-1.1920928955078125e-07,1e-05,6526682.5,-55.37690353393555,16900,16899,61,-115562.4140625,2735,1.0009808540344238
170000,-78.00132,5.960464477539063e-08,1e-05,10196323.0,-55.377723693847656,17000,16999,61,-143878.484375,2750,1.0010063648223877
171000,-1711.1967,-8.344650268554688e-07,1e-05,74574752.0,-55.3780403137207,17100,17099,61,368338.84375,2767,1.0010124444961548
172000,-3484.4807,0.0,1e-05,15621754.0,-55.3784065246582,17200,17199,61,-170901.484375,2780,1.0010221004486084
173000,-382.1237,0.0,1e-05,851381.625,-55.37847900390625,17300,17299,61,12160.9814453125,2796,1.0010271072387695
174000,2839.1104,0.0,1e-05,16244010.0,-55.37940216064453,17400,17399,61,-148683.046875,2811,1.0010467767715454
175000,126.317825,0.0,1e-05,3739310.0,-55.3794059753418,17500,17499,61,-101503.3125,2828,1.001045823097229
176000,-572.9103,0.0,1e-05,2457633.5,-55.37844467163086,17600,17599,61,78812.3984375,2842,1.001023769378662
177000,1477.5312,0.0,1e-05,7511947.5,-55.37795639038086,17700,17699,61,-109771.578125,2860,1.0010110139846802
178000,-232.74002,-1.1920928955078125e-07,1e-05,1757755.875,-55.37883377075195,17800,17799,61,-11789.2802734375,2874,1.001033067703247
179000,-1055.3126,0.0,1e-05,10345539.0,-55.37830352783203,17900,17899,61,-159770.921875,2891,1.0010201930999756
180000,-751.22284,0.0,1e-05,17168836.0,-55.377716064453125,18000,17999,61,-219197.671875,2905,1.001004695892334
181000,1167.3815,0.0,1e-05,40404500.0,-55.37751388549805,18100,18099,61,286690.96875,2921,1.0009992122650146
182000,213.33098,0.0,1e-05,4180461.75,-55.376319885253906,18200,18199,61,-6621.10302734375,2936,1.0009679794311523
183000,4006.8188,5.960464477539063e-08,1e-05,12582557.0,-55.376136779785156,18300,18299,61,-140106.59375,2955,1.0009654760360718
184000,-1892.3573,1.1920928955078125e-07,1e-05,106005688.0,-55.376251220703125,18400,18399,61,-530977.875,2969,1.0009655952453613
185000,-1309.2277,0.0,1e-05,3910126.5,-55.37726974487305,18500,18499,61,62792.4140625,2989,1.000994324684143
186000,-743.7237,-1.1920928955078125e-07,1e-05,25073678.0,-55.37883377075195,18600,18599,61,-219966.703125,3003,1.0010325908660889
187000,1378.4232,0.0,1e-05,10679155.0,-55.3789176940918,18700,18699,61,-149855.53125,3023,1.0010333061218262
188000,146.45355,-2.384185791015625e-07,1e-05,70098472.0,-55.379737854003906,18800,18799,61,455539.59375,3038,1.0010566711425781
189000,-1409.806,-2.384185791015625e-07,1e-05,5987519.5,-55.380104064941406,18900,18899,61,-120462.2265625,3056,1.0010671615600586
190000,-2229.9478,0.0,1e-05,9595005.0,-55.38009262084961,19000,18999,61,-56422.67578125,3071,1.0010684728622437
191000,-4000.3103,1.1920928955078125e-07,1e-05,9189479.0,-55.3798942565918,19100,19099,61,-147835.15625,3089,1.0010594129562378
192000,-3757.7786,0.0,1e-05,127510168.0,-55.380279541015625,19200,19199,61,-576688.8125,3104,1.0010716915130615
193000,640.3795,5.960464477539063e-08,1e-05,10835647.0,-55.3806266784668,19300,19299,61,-126593.5,3124,1.0010782480239868
194000,-2231.2627,0.0,1e-05,5083358.5,-55.381256103515625,19400,19399,61,2587.421875,3138,1.0010913610458374
195000,-1309.179,-1.1920928955078125e-07,1e-05,70810592.0,-55.3821907043457,19500,19499,61,-388050.125,3157,1.0011208057403564
196000,-3985.5508,-3.5762786865234375e-07,1e-05,3969339.75,-55.383544921875,19600,19599,61,977.978515625,3171,1.0011532306671143
197000,-294.31866,-2.384185791015625e-07,1e-05,34410576.0,-55.38386154174805,19700,19699,61,-284234.25,3186,1.001160979270935
198000,-3247.3206,1.1920928955078125e-07,1e-05,649491072.0,-55.384578704833984,19800,19799,61,1318327.375,3199,1.0011807680130005
199000,-4087.4912,0.0,1e-05,12619224.0,-55.38418197631836,19900,19899,61,101761.5,3214,1.0011711120605469
200000,-214.79144,-2.384185791015625e-06,1e-05,13183805.0,-55.38442611694336,20000,19999,61,98954.328125,3228,1.0011736154556274
201000,682.8946,0.0,1e-05,30641184.0,-55.38459396362305,20100,20099,61,-274559.28125,3247,1.0011833906173706
202000,1668.0116,0.0,1e-05,139642992.0,-55.3846321105957,20200,20199,61,-491750.0,3261,1.001184344291687
203000,-143.81401,0.0,1e-05,429954016.0,-55.3843879699707,20300,20299,61,-1019055.8125,3280,1.001176357269287
204000,-379.1715,0.0,1e-05,21601358.0,-55.3841667175293,20400,20399,61,-244041.921875,3294,1.0011670589447021
205000,1471.6133,1.7881393432617188e-07,1e-05,304278016.0,-55.38478469848633,20500,20499,61,605876.625,3309,1.0011881589889526
206000,287.45844,0.0,1e-05,19612200.0,-55.3851203918457,20600,20599,61,-199661.703125,3323,1.001192569732666
207000,12796.504,-1.2755393981933594e-05,1e-05,31188880.0,-55.385955810546875,20700,20699,61,192346.53125,3340,1.001214623451233
208000,-2778.8809,1.1920928955078125e-07,1e-05,70942928.0,-55.3860969543457,20800,20799,62,433953.09375,3354,1.0012189149856567
209000,8369.087,0.00025904178619384766,1e-05,12585163.0,-55.386146545410156,20900,20899,62,21772.87890625,3370,1.0012179613113403
210000,-297.00104,0.0,1e-05,10409315.0,-55.386268615722656,21000,20999,62,-145654.5,3383,1.0012238025665283
211000,462.65396,0.0,1e-05,4524562.5,-55.386260986328125,21100,21099,61,-81338.1640625,3403,1.0012210607528687
212000,-2049.8616,0.0,1e-05,49714940.0,-55.385658264160156,21200,21199,62,328559.96875,3417,1.001204252243042
213000,385.747,0.0,1e-05,22848684.0,-55.38569259643555,21300,21299,62,-249531.859375,3434,1.0012117624282837
214000,-122.4763,0.0,1e-05,51451628.0,-55.386775970458984,21400,21399,62,-362890.75,3448,1.001236915588379
215000,-106.06786,0.0,1e-05,12337548.0,-55.38764572143555,21500,21499,62,-153560.296875,3463,1.0012619495391846
216000,-505.93307,0.0,1e-05,2748398.5,-55.3875732421875,21600,21599,62,-20319.669921875,3477,1.0012569427490234
